13	2.5	9	3
15	1.5	10.5	3
16	0	10.5	3
15	-0.5	10	4
15	-0.5	9	4
14	0.5	7	6
16	3.5	5	9
21	6.5	2	15
29	9.5	0.5	24
40	10.5	-1	34
50	8	-2.5	44
56	3	-3	50
56	-3	-3	50
50	-8.5	-3	44
39	-11	-2	35
28	-9.5	-1.5	25
20	-5.5	-1.5	19
17	-0.5	-2	16
19	4	-2.5	20
25	8	-4	28
35	9.5	-6	39
44	7.5	-8	50
50	2.5	-8.5	56
49	-3	-8.5	56
44	-7.5	-7.5	49
34	-10	-6	39
24	-10	-4.5	27
14	-8	-2.5	16
8	-5	-1.5	9
4	-3	-0.5	4
2	-1.5	-0.5	2
1	-1	-0.5	1
0	-0.5	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0.5	0
0	0.5	0.5	0
1	1	0.5	0
2	2	1.5	1
5	3	2	1
8	4	3.5	3
13	6	6	4
20	7.5	8	7
28	7.5	11	10
35	7.5	12.5	13
43	8	14	17
51	8.5	14.5	22
60	10	15	29
71	10.5	15.5	35
81	8.5	16	42
88	5	16.5	47
91	0.5	16.5	49
89	-4.5	15.5	48
82	-7	13.5	46
75	-6.5	11	43
69	-3.5	9	41
68	0.5	7.5	42
70	3.5	6.5	45
75	5	7	48
80	5.5	8	51
86	6	10.5	52
92	5.5	14	53
97	4	17.5	53
100	0	20	52
97	-6.5	21	49
87	-13	20	43
71	-17.5	17.5	34
52	-18	13.5	25
35	-15.5	9.5	16
21	-11.5	6.5	9
12	-7	4.5	5
7	-3.5	4	2
5	-1	3.5	1
5	0.5	4.5	1
6	1	5	1
7	1	6	1
8	0.5	7	1
8	-0.5	7	1
7	-1	6	1
6	-1.5	5	1
4	-1.5	3.5	1
3	-1	2.5	1
2	-0.5	1.5	1
2	0.5	0.5	2
3	2	-0.5	4
6	4	-1.5	9
11	6	-3	16
18	8	-5.5	27
27	8	-8	39
34	6	-10	49
39	2.5	-11	56
39	-2.5	-11	56
34	-6	-10	50
27	-7.5	-7.5	39
19	-7	-5.5	27
13	-4.5	-3	17
10	-0.5	-1	12
12	4	0	10
18	7.5	0.5	13
27	10.5	1.5	19
39	11.5	2.5	27
50	8.5	3	34
56	3	3	39
56	-3	3.5	39
50	-8	3.5	34
40	-10	3.5	27
30	-9	4	19
22	-6.5	5	12
17	-3.5	7	7
15	-1	8.5	5
15	0.5	10.5	4
16	0.5	12	3
16	-0.5	12	3
15	-1.5	11	3
13	-2.5	10	2
10	-2.5	8	2
8	-2	6.5	1
6	-2	5	1
4	-2	3	1
2	-1.5	2	0
1	-0.5	1	0
1	-0.5	0.5	0
0	-0.5	0.5	0
0	0.5	0.5	0
1	0.5	0.5	0
1	1	0.5	0
3	2.5	1.5	1
6	3.5	3	1
10	4.5	5.5	3
15	6	8	4
22	7.5	11	6
30	7	14.5	9
36	6	16.5	12
42	5.5	17.5	15
47	4.5	17	19
51	4	14.5	25
55	4.5	11	32
60	4	7	41
63	2	3	48
64	-1.5	0.5	52
60	-6	-1.5	51
52	-10.5	-2	44
39	-12.5	-2	34
27	-11.5	-1.5	24
16	-9	-0.5	14
9	-6	-0.5	8
4	-3.5	0	4
2	-1.5	0	2
1	-1	0	1
0	-0.5	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.5	0	0
1	0.5	0.5	0
1	1	0.5	0
3	2	1.5	1
5	2.5	2.5	1
8	3	4.5	2
11	3	6	3
14	2.5	8	4
16	1	9	4
16	-1	9	4
14	-2.5	8	4
11	-3	6	3
8	-3	4.5	2
5	-2.5	2.5	1
3	-2	2	1
1	-1	1	0
1	0	1	0
1	-0.5	0.5	0
0	-0.5	0.5	0
0	0.5	0.5	0
1	0.5	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	0	1	0
1	-0.5	0.5	0
0	-0.5	0.5	0
0	0	0.5	0
0	0	0.5	0
0	0	0.5	0
0	0	0.5	0
0	0	0.5	0
0	0	0.5	0
0	0	0.5	0
0	0.5	0.5	0
1	0.5	1	0
1	0	1	0
1	0	1.5	0
1	0	2	0
1	0	2	0
1	0	1.5	0
1	0	1	0
1	-0.5	1	0
0	-0.5	0.5	0
0	0	0.5	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.5	-0.5	1
1	1.5	-0.5	2
3	2.5	-1	4
6	4	-2	9
11	6	-3	16
18	8	-5.5	27
27	8.5	-7.5	39
35	7	-9.5	50
41	4	-10.5	57
43	0.5	-9.5	57
42	-1.5	-7	52
40	-2	-2	43
38	-1.5	3	33
37	-1	8	24
36	-1.5	12	18
34	-2	14	14
32	-3	14.5	11
28	-4.5	14	8
23	-4.5	12.5	6
19	-3.5	11	5
16	-2.5	10	4
14	-0.5	9.5	3
15	2	10	3
18	4.5	10.5	5
24	7.5	12	8
33	11.5	13	13
47	15	15	21
63	16.5	17	31
80	15	17.5	42
93	8.5	17.5	51
97	-0.5	17	55
92	-10	14.5	53
77	-17.5	11.5	45
24	4.5	13	6
28	2.5	15	7
29	0	15.5	8
28	-1.5	15.5	8
26	-2.5	13	8
23	-2	10	9
22	0	6.5	12
23	3.5	2.5	19
29	7	-1	28
37	8	-4.5	39
45	6.5	-6.5	50
50	2.5	-8	56
50	-3	-8	56
44	-7.5	-7.5	50
35	-9.5	-5.5	39
25	-9	-4	28
17	-5.5	-3	20
14	-1	-3	18
15	3	-4	20
20	6	-5.5	28
27	7	-8	39
34	6	-10	50
39	2.5	-11.5	56
39	-2.5	-11	56
34	-6	-10	49
27	-8	-8	39
18	-8	-5.5	27
11	-6	-3	16
6	-4	-2	9
3	-2.5	-1	4
1	-1.5	-0.5	2
0	-0.5	-0.5	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.5	0.5	0
1	0.5	0.5	0
1	0.5	1	0
2	1.5	1.5	1
4	2.5	2	1
7	4	2.5	3
12	6.5	4.5	5
20	8.5	6.5	8
29	9.5	9	13
39	9.5	10.5	17
48	9	12.5	23
57	8.5	12.5	29
65	8.5	12	36
74	9.5	11	44
84	10	9.5	53
94	8.5	8	62
101	5	7.5	68
104	-0.5	6.5	71
100	-6	5.5	69
92	-9	4.5	65
82	-8.5	3	60
75	-5	1.5	57
72	-1	-0.5	57
73	3	-1	60
78	5.5	-1.5	64
84	7	-0.5	68
92	9	1.5	71
102	9.5	4	74
111	7.5	8	76
117	2	10.5	77
115	-6	12.5	73
105	-14	13	65
87	-20	12.5	52
65	-21.5	11	38
44	-18.5	8.5	25
28	-13.5	7	15
17	-8	6	8
12	-3.5	5.5	4
10	-0.5	6	3
11	1.5	7	2
13	2	9	3
15	2	10.5	3
17	1	11.5	3
17	-1	11.5	3
15	-2.5	10.5	3
