X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, 
26, 26, 0, 0, 2.5, 0, 2, 1.9375, 0, -1.75, 0, 0.964074, 
36, 26, 0, 0, 0, 0, 2, 2.3125, 0, 1.875, -1074266112, 0.967516, 
46, 26, 0, 0, 1.75, 0, 2, -1.75, 0, 0, 0, 0.961658, 
56, 26, 0, 0, -1.75, 0, 1, 1.875, 0, -1.75, -1073741824, 0.937024, 
66, 26, 0, 0, 1.875, 0, 1, 1.75, 0, -1.875, 0, 0.916883, 
76, 26, 0, 0, 1.75, 0, 2, 2.53125, 0, 1.75, -1073479680, 0.934223, 
86, 26, 0, 0, -1.75, 0, 2, 0, 0, 2.375, 0, 0.97393, 
96, 26, 0, 0, 1.75, 0, 2, -1.8125, 0, 1.625, -1073610752, 0.980618, 
106, 26, 0, 0, 0, 0, 2, 0, 0, -1.875, 0, 0.978021, 
116, 26, 0, 0, 1.875, 0, 2, 1.875, 0, 0, -1074266112, 0.958915, 
126, 26, 0, 0, 1.8125, 0, 2, -1.8125, 0, 2.53125, 0, 0.921598, 
136, 26, 0, 0, -1.75, 0, 2, -1.875, 0, 1.75, -1074266112, 0.930454, 
146, 26, 0, 0, 2.375, 0, 2, -1.625, 0, -1.625, 0, 0.955306, 
156, 26, 0, 0, 0, 0, 2, 0, 0, 1.875, -1074790400, 0.973024, 
166, 26, 0, 0, 2.26563, 0, 2, -2.15625, 0, 1.875, 0, 0.975422, 
176, 26, 0, 0, -1.8125, 0, 2, -2.125, 0, 2.03125, -1076887552, 0.953727, 
186, 26, 0, 0, 2.5, 0, 1, -1.875, 0, 0, 0, 0.952644, 
196, 26, 0, 0, 0, 0, 1, 2.34375, 0, -1.8125, 0, 0.947363, 
206, 26, 0, 0, -1.75, 0, 2, 1.625, 0, 2, 0, 0.966437, 
216, 26, 0, 0, -1.625, 0, 1, -2.35938, 0, 2.1875, 1071644672, 0.928829, 
226, 26, 0, 0, -1.75, 0, 1, 0, 0, 2.21875, 0, 0.91024, 
26, 36, 0, 0, -2.03125, 0, 2, 2.4375, 0, -1.875, 1072168960, 0.956167, 
36, 36, 0, 0, -1.75, 0, 2, 1.75, 0, 2.28125, 0, 0.945318, 
46, 36, 0, 0, -1.875, 0, 1, -1.75, 0, 1.75, 1070596096, 0.946956, 
56, 36, 0, 0, -1.75, 0, 1, -1.90625, 0, 2.0625, 0, 0.932234, 
