X, Y, Int U, U, Ux, Uy, Int V, V, Vx, Vy, Interation, ZNCC, 
18, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.865118, 
28, 18, -1, -1, 0, 0, 0, 0, 0, 0, 5, 0.942677, 
38, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.891668, 
48, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.890995, 
58, 18, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.928797, 
68, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.925713, 
78, 18, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.91322, 
88, 18, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.956767, 
98, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.745942, 
108, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.805262, 
118, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.875297, 
128, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.779549, 
138, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.834503, 
148, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.914881, 
158, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.945646, 
168, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.9315, 
178, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.940528, 
188, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.904269, 
198, 18, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.879503, 
208, 18, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.966557, 
218, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.830789, 
228, 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.787319, 
18, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.947891, 
28, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.983855, 
38, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.994059, 
48, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.940017, 
58, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.907821, 
68, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.928583, 
78, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.943985, 
88, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.905954, 
98, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.906202, 
108, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.930194, 
118, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.980265, 
128, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.882592, 
138, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.886805, 
148, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.980607, 
158, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.809642, 
168, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.846931, 
178, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.957639, 
188, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.988282, 
198, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.923349, 
208, 28, -1, -1, 0, 0, 0, 0, 0, 0, 5, 0.929146, 
218, 28, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.928267, 
228, 28, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.897415, 
18, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.924166, 
28, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.84478, 
38, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.937344, 
48, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.923135, 
58, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.903516, 
68, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.820675, 
78, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.897749, 
88, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.822372, 
98, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.914102, 
108, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.944124, 
118, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.912352, 
128, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.94232, 
138, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.893816, 
148, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.878049, 
158, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.919078, 
168, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.979024, 
178, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.958587, 
188, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.968542, 
198, 38, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.972895, 
208, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.907553, 
218, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.921674, 
228, 38, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.908942, 
18, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.90332, 
28, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.939174, 
38, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.918498, 
48, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.928101, 
58, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.981307, 
68, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.967977, 
78, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.966151, 
88, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.947689, 
98, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.870086, 
108, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.839378, 
118, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.897109, 
128, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.941673, 
138, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.938024, 
148, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.949062, 
158, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.95335, 
168, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.755197, 
178, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.875346, 
188, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.90418, 
198, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.945799, 
208, 48, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.929727, 
218, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.790003, 
228, 48, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.895693, 
18, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.935107, 
28, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.991336, 
38, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.984268, 
48, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.890789, 
58, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.847565, 
68, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.922733, 
78, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.933323, 
88, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.964565, 
98, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.967122, 
108, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.97319, 
118, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.979237, 
128, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.908319, 
138, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.961354, 
148, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.886302, 
158, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.876273, 
168, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.929107, 
178, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.930801, 
188, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.878623, 
198, 58, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.913086, 
208, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.989868, 
218, 58, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.946838, 
228, 58, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.887812, 
18, 68, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.865633, 
28, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.877302, 
38, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.86324, 
48, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.925579, 
58, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.848214, 
68, 68, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.849201, 
78, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.767104, 
88, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.877951, 
98, 68, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.853456, 
108, 68, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.934635, 
118, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.910021, 
128, 68, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.916206, 
138, 68, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.958322, 
148, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.917823, 
158, 68, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.930257, 
168, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.930042, 
178, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.936868, 
188, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.928648, 
198, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.95721, 
208, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.958762, 
218, 68, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.874031, 
228, 68, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.918602, 
18, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.917797, 
28, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.914004, 
38, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.908063, 
48, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.881165, 
58, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.924695, 
68, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.952621, 
78, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.937812, 
88, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.832315, 
98, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.899892, 
108, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.94699, 
118, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.89403, 
128, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.941768, 
138, 78, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.946518, 
148, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.882868, 
158, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.876787, 
168, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.894337, 
178, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.959953, 
188, 78, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.758052, 
198, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.771711, 
208, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.938348, 
218, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.924964, 
228, 78, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.88146, 
18, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.918756, 
28, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.846521, 
38, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.887435, 
48, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.933362, 
58, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.919588, 
68, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.914571, 
78, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.887391, 
88, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.778888, 
98, 88, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.956645, 
108, 88, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.978698, 
118, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.888654, 
128, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.874204, 
138, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.799725, 
148, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.905447, 
158, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.916146, 
168, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.906921, 
178, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.875501, 
188, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.904526, 
198, 88, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.923863, 
208, 88, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.955904, 
218, 88, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.965453, 
228, 88, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.975365, 
18, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.957856, 
28, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.860738, 
38, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.906342, 
48, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.917674, 
58, 98, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.976167, 
68, 98, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.946927, 
78, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.883237, 
88, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.911754, 
98, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.94901, 
108, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.869399, 
118, 98, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.943307, 
128, 98, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.921769, 
138, 98, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.969787, 
148, 98, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0.967736, 
158, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.92036, 
168, 98, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0.88301, 
178, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.780405, 
188, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.909892, 
198, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.817003, 
208, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0.835631, 
