Country,Year,Rice,Rank
China,1961,20787,4
India,1961,15419,10
Indonesia,1961,17623,7
Japan,1961,48793,1
Korea,1961,41481,2
Lao,1961,8710,12
Malaysia,1961,21086,3
Myanmar,1961,16066,9
Philippines,1961,12299,11
SriLanka,1961,18626,6
Thailand,1961,16585,8
VietNam,1961,18966,5
China,1962,23700,3
India,1962,13959,10
Indonesia,1962,17855,7
Japan,1962,51372,1
Korea,1962,35768,2
Lao,1962,8644,12
Malaysia,1962,20678,4
Myanmar,1962,16469,9
Philippines,1962,12548,11
SriLanka,1962,19539,6
Thailand,1962,17202,8
VietNam,1962,19937,5
China,1963,26833,3
India,1963,15498,10
Indonesia,1963,17226,8
Japan,1963,50821,1
Korea,1963,43974,2
Lao,1963,8667,12
Malaysia,1963,21525,4
Myanmar,1963,15957,9
Philippines,1963,12447,11
SriLanka,1963,19547,6
Thailand,1963,18725,7
VietNam,1963,21400,5
China,1964,28289,3
India,1964,16171,10
Indonesia,1964,17630,8
Japan,1964,50111,1
Korea,1964,44720,2
Lao,1964,8024,12
Malaysia,1964,19968,4
Myanmar,1964,17097,9
Philippines,1964,12478,11
SriLanka,1964,19962,5
Thailand,1964,18384,7
VietNam,1964,19442,6
China,1965,29667,3
India,1965,12936,11
Indonesia,1965,17708,7
Japan,1965,49489,1
Korea,1965,39634,2
Lao,1965,8079,12
Malaysia,1965,21578,4
Myanmar,1965,16614,9
Philippines,1965,13099,10
SriLanka,1965,17696,8
Thailand,1965,17805,6
VietNam,1965,19414,5
China,1966,31445,3
India,1966,12952,11
Indonesia,1966,17748,8
Japan,1966,50841,1
Korea,1966,44257,2
Lao,1966,8108,12
Malaysia,1966,21408,4
Myanmar,1966,14694,9
Philippines,1966,13223,10
SriLanka,1966,18365,5
Thailand,1966,18360,6
VietNam,1966,18079,7
China,1967,31006,3
India,1967,15484,10
Indonesia,1967,17592,7
Japan,1967,57490,1
Korea,1967,40551,2
Lao,1967,8448,12
Malaysia,1967,20165,5
Myanmar,1967,16510,9
Philippines,1967,13804,11
SriLanka,1967,21259,4
Thailand,1967,17497,8
VietNam,1967,19159,6
China,1968,31868,3
India,1968,16134,10
Indonesia,1968,21398,6
Japan,1968,57183,1
Korea,1968,38593,2
Lao,1968,11753,12
Malaysia,1968,21714,5
Myanmar,1968,16843,9
Philippines,1968,13339,11
SriLanka,1968,23968,4
Thailand,1968,17882,7
VietNam,1968,17095,8
China,1969,31415,3
India,1969,16094,11
Indonesia,1969,22487,6
Japan,1969,55505,1
Korea,1969,46623,2
Lao,1969,13471,12
Malaysia,1969,23246,5
Myanmar,1969,17092,10
Philippines,1969,17098,9
SriLanka,1969,25654,4
Thailand,1969,18474,7
VietNam,1969,17880,8
China,1970,34162,3
India,1970,16849,11
Indonesia,1970,23763,5
Japan,1970,56348,1
Korea,1970,45520,2
Lao,1970,13589,12
Malaysia,1970,23858,4
Myanmar,1970,16973,10
Philippines,1970,17460,9
SriLanka,1970,22485,6
Thailand,1970,20207,8
VietNam,1970,21534,7
China,1971,33145,3
India,1971,17110,10
Indonesia,1971,24254,5
Japan,1971,52439,1
Korea,1971,46697,2
Lao,1971,12204,12
Malaysia,1971,24736,4
Myanmar,1971,17161,9
Philippines,1971,15980,11
SriLanka,1971,20119,7
Thailand,1971,19369,8
VietNam,1971,22265,6
China,1972,32475,3
India,1972,16046,10
Indonesia,1972,24556,4
Japan,1972,58458,1
