id,Year,cases
AD,1960,58.5
AE,1960,73.5
AF,1960,8
AG,1960,39.7
AL,1960,30.7
AM,1960,51.3
AN,1960,69.7
AO,1960,10.4
AR,1960,73.6
AS,1960,66.2
AT,1960,64.7
AU,1960,81.5
AW,1960,50.8
AZ,1960,47.7
BA,1960,19
BB,1960,36.8
BD,1960,5.1
BE,1960,92.5
BF,1960,4.7
BG,1960,37.1
BH,1960,82.3
BI,1960,2
BJ,1960,9.3
BM,1960,100
BN,1960,43.4
BO,1960,36.8
BR,1960,44.9
BS,1960,59.7
BT,1960,3.6
BW,1960,3.1
BY,1960,32.4
BZ,1960,54
CA,1960,69.1
CD,1960,22.3
CF,1960,20.1
CG,1960,31.6
CH,1960,51
CI,1960,17.7
CL,1960,67.8
CM,1960,13.9
CN,1960,16
CO,1960,45
CR,1960,34.3
CU,1960,58.4
CV,1960,16.7
CY,1960,35.6
CZ,1960,59.5
DE,1960,71.4
DJ,1960,50.3
DK,1960,73.7
DM,1960,27.3
DO,1960,30.2
DZ,1960,30.5
EC,1960,33.9
EE,1960,57.5
EG,1960,37.9
ER,1960,9.8
ES,1960,56.6
ET,1960,6.4
FI,1960,38.1
FJ,1960,29.7
FM,1960,22.3
FO,1960,21.4
FR,1960,61.9
GA,1960,17.4
GB,1960,78.4
GD,1960,30.3
GE,1960,42.3
GH,1960,23.3
GL,1960,58.5
GM,1960,12.1
GN,1960,10.5
GQ,1960,25.5
GR,1960,42.9
GT,1960,31.1
GU,1960,50.1
GW,1960,13.6
GY,1960,29
HK,1960,85.2
HN,1960,22.7
HR,1960,30.2
HT,1960,15.6
HU,1960,55.9
ID,1960,14.6
IE,1960,45.8
IL,1960,76.8
IM,1960,55.1
IN,1960,17.9
IQ,1960,42.9
IR,1960,33.7
IS,1960,80.3
IT,1960,59.4
JM,1960,33.8
JO,1960,50.9
JP,1960,43.1
KE,1960,7.4
KG,1960,34.2
KH,1960,10.3
KI,1960,16.3
KM,1960,12.6
KN,1960,27.6
KP,1960,40.2
KR,1960,27.7
KW,1960,74.9
KY,1960,100
KZ,1960,44.2
LA,1960,7.9
LB,1960,42.3
LC,1960,21.5
LI,1960,20.4
LK,1960,16.4
LR,1960,18.6
LS,1960,3.4
LT,1960,39.5
LU,1960,69.6
LV,1960,52.9
LY,1960,27.3
MA,1960,29.4
MC,1960,100
MD,1960,23.4
ME,1960,18.8
MG,1960,10.6
MH,1960,35.6
MK,1960,34
ML,1960,11.1
MM,1960,19.2
MN,1960,35.7
MO,1960,95.3
MP,1960,51.2
MR,1960,6.9
MT,1960,90.1
MU,1960,33.2
MV,1960,11.2
MW,1960,4.4
MX,1960,50.8
MY,1960,26.6
MZ,1960,3.7
NA,1960,17.9
NC,1960,37.4
NE,1960,5.8
NG,1960,16.2
NI,1960,39.6
NL,1960,59.8
NO,1960,49.9
NP,1960,3.5
NZ,1960,76
OM,1960,16.4
PA,1960,41.2
PE,1960,46.8
PF,1960,42.4
PG,1960,3.7
PH,1960,30.3
PK,1960,22.1
PL,1960,47.9
PR,1960,44.5
PT,1960,35
PW,1960,56.8
PY,1960,35.6
QA,1960,85.2
RO,1960,34.2
RS,1960,-1
RU,1960,53.8
RW,1960,2.4
SA,1960,31.3
SB,1960,5.8
SC,1960,27.7
SD,1960,10.7
SE,1960,72.5
SG,1960,100
SI,1960,28.2
SK,1960,33.5
SL,1960,17.4
SM,1960,48.9
SN,1960,23
SO,1960,17.3
SR,1960,47.3
ST,1960,16.1
SV,1960,38.3
SY,1960,36.8
SZ,1960,3.9
TD,1960,6.7
TG,1960,10.1
TH,1960,19.7
TJ,1960,33.2
TL,1960,10.1
TM,1960,46.4
TN,1960,37.5
TO,1960,17.6
TR,1960,31.5
TT,1960,17.3
TZ,1960,5.2
UA,1960,46.8
UG,1960,4.4
US,1960,70
UY,1960,80.2
UZ,1960,34
VC,1960,13.9
VE,1960,61.6
VI,1960,56.5
VN,1960,14.7
VU,1960,10.4
WS,1960,18.9
YE,1960,9.1
ZA,1960,46.6
ZM,1960,18.1
ZW,1960,12.6
AD,1961,60.88
AE,1961,73.94
AF,1961,8.28
AG,1961,39.08
AL,1961,30.8
AM,1961,52.16
AN,1961,70.34
AO,1961,10.82
AR,1961,74.16
AS,1961,66.62
AT,1961,64.76
AU,1961,81.9
AW,1961,50.78
AZ,1961,47.92
BA,1961,19.76
BB,1961,36.86
BD,1961,5.32
BE,1961,92.62
BF,1961,4.8
BG,1961,38.84
BH,1961,82.34
BI,1961,2.04
BJ,1961,9.94
BM,1961,100
BN,1961,45.24
BO,1961,37.1
BR,1961,45.98
BS,1961,60.42
BT,1961,3.82
BW,1961,3.24
BY,1961,33.54
BZ,1961,53.7
CA,1961,69.86
CD,1961,23.06
CF,1961,20.78
CG,1961,32.34
CH,1961,51.64
CI,1961,19.06
CL,1961,68.58
CM,1961,14.5
CN,1961,16.32
CO,1961,46.2
CR,1961,34.6
CU,1961,58.58
CV,1961,16.98
CY,1961,36.12
CZ,1961,60
DE,1961,71.52
DJ,1961,51.46
DK,1961,74.36
DM,1961,29.16
DO,1961,31.16
DZ,1961,31.92
EC,1961,34.44
EE,1961,58.26
EG,1961,38.46
ER,1961,10.12
ES,1961,57.54
ET,1961,6.64
FI,1961,39.26
FJ,1961,30.28
FM,1961,22.54
FO,1961,22.24
FR,1961,62.94
GA,1961,18.68
GB,1961,78.28
GD,1961,30.5
GE,1961,42.82
GH,1961,23.86
GL,1961,60.02
GM,1961,12.58
GN,1961,11
GQ,1961,25.7
GR,1961,43.82
GT,1961,31.68
GU,1961,51.18
GW,1961,13.74
GY,1961,29.04
HK,1961,85.44
HN,1961,23.3
HR,1961,31.16
HT,1961,16
HU,1961,56.32
ID,1961,14.84
IE,1961,46.38
IL,1961,77.62
IM,1961,55.34
IN,1961,18.08
IQ,1961,44.46
IR,1961,34.38
IS,1961,80.78
IT,1961,59.88
JM,1961,34.54
JO,1961,51.58
JP,1961,43.96
KE,1961,7.64
KG,1961,34.54
KH,1961,10.4
KI,1961,16.96
KM,1961,13.48
KN,1961,28.26
KP,1961,41.18
KR,1961,28.64
KW,1961,75.78
KY,1961,100
KZ,1961,44.76
LA,1961,7.98
LB,1961,44.02
LC,1961,21.74
LI,1961,20.22
LK,1961,16.64
LR,1961,19.3
LS,1961,3.98
LT,1961,40.5
LU,1961,70.08
LV,1961,53.68
LY,1961,28.58
MA,1961,29.9
MC,1961,100
MD,1961,24.24
ME,1961,19.56
MG,1961,10.96
MH,1961,37.02
MK,1961,35.28
ML,1961,11.4
MM,1961,19.56
MN,1961,36.98
MO,1961,95.48
MP,1961,52.72
MR,1961,7.54
MT,1961,90.04
MU,1961,33.96
MV,1961,11.26
MW,1961,4.5
MX,1961,51.62
MY,1961,27.26
MZ,1961,3.88
NA,1961,18.32
NC,1961,38.84
NE,1961,6
NG,1961,16.98
NI,1961,40.22
NL,1961,60
NO,1961,51.44
NP,1961,3.54
NZ,1961,76.58
OM,1961,17.58
PA,1961,41.84
PE,1961,47.82
PF,1961,43.56
PG,1961,4.06
PH,1961,30.56
PK,1961,22.38
PL,1961,48.34
PR,1961,45.9
PT,1961,35.38
PW,1961,57.1
PY,1961,35.72
QA,1961,85.6
RO,1961,34.9
RS,1961,-1
RU,1961,54.72
RW,1961,2.48
SA,1961,32.8
SB,1961,6.08
SC,1961,28.78
SD,1961,11.24
SE,1961,73.42
SG,1961,100
SI,1961,29.06
SK,1961,34.2
SL,1961,17.96
SM,1961,50
SN,1961,23.68
SO,1961,17.84
SR,1961,47.26
ST,1961,17.24
SV,1961,38.42
SY,1961,37.44
SZ,1961,4.42
TD,1961,7.04
TG,1961,11.08
TH,1961,19.8
TJ,1961,33.6
TL,1961,10.36
TM,1961,46.54
TN,1961,37.94
TO,1961,17.98
TR,1961,32.04
TT,1961,16.7
TZ,1961,5.36
UA,1961,47.56
UG,1961,4.62
US,1961,70.38
UY,1961,80.42
UZ,1961,34.26
VC,1961,15.08
VE,1961,62.68
VI,1961,57.86
VN,1961,15.04
VU,1961,10.58
WS,1961,18.98
YE,1961,9.48
ZA,1961,46.72
ZM,1961,19.16
ZW,1961,13
AD,1962,63.26
AE,1962,74.38
AF,1962,8.56
AG,1962,38.46
AL,1962,30.9
AM,1962,53.02
AN,1962,70.98
AO,1962,11.24
AR,1962,74.72
AS,1962,67.04
AT,1962,64.82
AU,1962,82.3
AW,1962,50.76
AZ,1962,48.14
BA,1962,20.52
BB,1962,36.92
BD,1962,5.54
BE,1962,92.74
BF,1962,4.9
BG,1962,40.58
BH,1962,82.38
BI,1962,2.08
BJ,1962,10.58
BM,1962,100
BN,1962,47.08
BO,1962,37.4
BR,1962,47.06
BS,1962,61.14
BT,1962,4.04
BW,1962,3.38
BY,1962,34.68
BZ,1962,53.4
CA,1962,70.62
CD,1962,23.82
CF,1962,21.46
CG,1962,33.08
CH,1962,52.28
CI,1962,20.42
CL,1962,69.36
CM,1962,15.1
CN,1962,16.64
CO,1962,47.4
CR,1962,34.9
CU,1962,58.76
CV,1962,17.26
CY,1962,36.64
CZ,1962,60.5
DE,1962,71.64
DJ,1962,52.62
DK,1962,75.02
DM,1962,31.02
DO,1962,32.12
DZ,1962,33.34
EC,1962,34.98
EE,1962,59.02
EG,1962,39.02
ER,1962,10.44
ES,1962,58.48
ET,1962,6.88
FI,1962,40.42
FJ,1962,30.86
FM,1962,22.78
FO,1962,23.08
FR,1962,63.98
GA,1962,19.96
GB,1962,78.16
GD,1962,30.7
GE,1962,43.34
GH,1962,24.42
GL,1962,61.54
GM,1962,13.06
GN,1962,11.5
GQ,1962,25.9
GR,1962,44.74
GT,1962,32.26
GU,1962,52.26
GW,1962,13.88
GY,1962,29.08
HK,1962,85.68
HN,1962,23.9
HR,1962,32.12
HT,1962,16.4
HU,1962,56.74
ID,1962,15.08
IE,1962,46.96
IL,1962,78.44
IM,1962,55.58
IN,1962,18.26
IQ,1962,46.02
IR,1962,35.06
IS,1962,81.26
IT,1962,60.36
JM,1962,35.28
JO,1962,52.26
JP,1962,44.82
KE,1962,7.88
KG,1962,34.88
KH,1962,10.5
KI,1962,17.62
KM,1962,14.36
KN,1962,28.92
KP,1962,42.16
KR,1962,29.58
KW,1962,76.66
KY,1962,100
KZ,1962,45.32
LA,1962,8.06
LB,1962,45.74
LC,1962,21.98
LI,1962,20.04
LK,1962,16.88
LR,1962,20
LS,1962,4.56
LT,1962,41.5
LU,1962,70.56
LV,1962,54.46
LY,1962,29.86
MA,1962,30.4
MC,1962,100
MD,1962,25.08
ME,1962,20.32
MG,1962,11.32
MH,1962,38.44
MK,1962,36.56
ML,1962,11.7
MM,1962,19.92
MN,1962,38.26
MO,1962,95.66
MP,1962,54.24
MR,1962,8.18
MT,1962,89.98
MU,1962,34.72
MV,1962,11.32
MW,1962,4.6
MX,1962,52.44
MY,1962,27.92
MZ,1962,4.06
NA,1962,18.74
NC,1962,40.28
NE,1962,6.2
NG,1962,17.76
NI,1962,40.84
NL,1962,60.2
NO,1962,52.98
NP,1962,3.58
NZ,1962,77.16
OM,1962,18.76
