id,Year,cases
AF,1960,34.226333
DZ,1960,26.461331
AO,1960,42.099954
AR,1960,43.336787
AM,1960,56.135022
AU,1960,25.487632
AT,1960,35.673329
AZ,1960,54.115938
BD,1960,18.395944
BY,1960,20.733377
BE,1960,17.601219
BJ,1960,34.629610
BO,1960,35.486264
BR,1960,12.154053
BG,1960,24.259804
BF,1960,26.648726
KH,1960,69.560181
CM,1960,20.301958
CA,1960,14.095437
TD,1960,35.596157
CL,1960,38.188649
CN,1960,6.389541
CO,1960,17.613032
CD,1960,12.907903
CG,1960,38.687232
CR,1960,50.219109
CI,1960,31.464996
CU,1960,34.421084
CZ,1960,17.605895
DK,1960,38.043011
DO,1960,36.316138
EC,1960,30.312684
EG,1960,34.931044
SV,1960,29.292991
ET,1960,35.973469
FI,1960,26.554327
FR,1960,26.206347
GE,1960,40.794479
DE,1960,6.282291
GH,1960,24.819164
GR,1960,50.771062
GT,1960,36.985056
GN,1960,34.207012
HT,1960,41.001397
HN,1960,28.186937
HK,1960,100.000014
HU,1960,32.451200
IN,1960,2.932967
ID,1960,19.716221
IR,1960,25.780711
IQ,1960,31.676902
IE,1960,50.941214
IL,1960,45.465191
IT,1960,8.235059
JP,1960,41.126042
JO,1960,50.771655
KZ,1960,11.965262
KE,1960,48.790598
KP,1960,14.675975
KR,1960,34.092477
KW,1960,85.827077
KG,1960,31.757280
LA,1960,76.158997
LB,1960,70.216266
LR,1960,38.121372
LY,1960,47.309086
MG,1960,46.607108
MW,1960,5.121991
MY,1960,15.864750
ML,1960,23.149690
MX,1960,26.706965
MN,1960,52.309016
MA,1960,28.285068
MZ,1960,64.057783
MM,1960,39.343733
NP,1960,35.134673
NL,1960,13.032878
NZ,1960,24.416670
NI,1960,28.260272
NE,1960,30.608564
NG,1960,10.424123
NO,1960,32.348658
PK,1960,18.289865
PA,1960,60.947893
PY,1960,56.295049
PE,1960,37.778338
PH,1960,27.734173
PL,1960,7.903977
PT,1960,48.364693
PR,1960,56.825057
RO,1960,15.925130
RU,1960,9.565151
RW,1960,49.524047
SA,1960,12.195788
SN,1960,49.802009
RS,1960,-1.000000
SL,1960,30.351949
SG,1960,99.270960
SO,1960,19.259258
ZA,1960,14.154134
ES,1960,13.873976
SD,1960,27.724514
SE,1960,14.836710
CH,1960,19.581203
SY,1960,28.228074
TZ,1960,30.952501
TH,1960,39.497895
TG,1960,59.987727
TN,1960,27.446626
TR,1960,16.341937
UG,1960,46.036839
UA,1960,5.808710
AE,1960,58.804026
GB,1960,19.960260
US,1960,11.199142
UY,1960,63.132934
UZ,1960,33.124964
VE,1960,28.178247
VN,1960,27.412168
YE,1960,15.151422
ZM,1960,16.504558
ZW,1960,52.462656
AF,1961,34.861225
DZ,1961,26.009756
AO,1961,42.175036
AR,1961,43.253069
AM,1961,55.319707
AU,1961,25.432455
AT,1961,35.457880
AZ,1961,53.353963
BD,1961,18.443497
BY,1961,20.937213
BE,1961,17.572818
BJ,1961,34.004159
BO,1961,35.531630
BR,1961,12.270922
BG,1961,23.550813
BF,1961,27.406719
KH,1961,67.723113
CM,1961,20.126377
CA,1961,14.333381
TD,1961,36.962005
CL,1961,38.055929
CN,1961,6.234237
CO,1961,17.857805
CD,1961,13.403987
CG,1961,39.301815
CR,1961,50.240428
CI,1961,30.565021
CU,1961,34.344324
CZ,1961,17.440799
DK,1961,37.921106
DO,1961,36.266285
EC,1961,30.676367
EG,1961,35.200515
SV,1961,29.693896
ET,1961,34.840483
FI,1961,26.007249
FR,1961,25.950405
GE,1961,40.567954
DE,1961,6.203907
GH,1961,24.641707
GR,1961,50.796445
GT,1961,37.175774
GN,1961,36.254768
HT,1961,41.691011
HN,1961,28.122128
HK,1961,101.055937
HU,1961,32.297530
IN,1961,2.978724
ID,1961,20.176618
IR,1961,26.102547
IQ,1961,32.646654
IE,1961,50.993108
IL,1961,45.933867
IT,1961,8.338381
JP,1961,41.555186
JO,1961,51.815690
KZ,1961,11.734272
KE,1961,48.971666
KP,1961,14.394055
KR,1961,34.673148
KW,1961,87.573653
KG,1961,32.385816
LA,1961,74.079288
LB,1961,69.111461
LR,1961,41.800524
LY,1961,45.779170
MG,1961,45.508716
MW,1961,5.664055
MY,1961,15.414709
ML,1961,22.952980
MX,1961,26.963816
MN,1961,54.066300
MA,1961,28.286325
MZ,1961,64.290591
MM,1961,38.559290
NP,1961,34.643010
NL,1961,12.972191
NZ,1961,24.394087
NI,1961,28.619188
NE,1961,31.313262
NG,1961,10.724930
NO,1961,31.515080
PK,1961,18.486347
PA,1961,61.222061
PY,1961,56.840380
PE,1961,37.771826
PH,1961,27.848145
PL,1961,7.905493
PT,1961,48.685584
PR,1961,56.518539
RO,1961,15.910812
RU,1961,9.432682
RW,1961,-1.000000
SA,1961,11.680179
SN,1961,50.258613
RS,1961,-1.000000
SL,1961,29.706707
SG,1961,99.335958
SO,1961,19.605836
ZA,1961,14.004960
ES,1961,14.020386
SD,1961,27.452960
SE,1961,14.987637
CH,1961,19.474344
SY,1961,28.029420
TZ,1961,31.362471
TH,1961,39.539377
TG,1961,59.946922
TN,1961,27.121802
TR,1961,16.534901
UG,1961,46.757579
UA,1961,5.849316
AE,1961,56.568198
GB,1961,19.759656
US,1961,11.107825
UY,1961,62.516382
UZ,1961,32.940981
VE,1961,28.225124
VN,1961,27.258249
YE,1961,14.867209
ZM,1961,16.852459
ZW,1961,51.745536
AF,1962,35.537838
DZ,1962,25.501811
AO,1962,42.960889
AR,1962,43.127538
AM,1962,54.569423
AU,1962,25.263470
AT,1962,35.194992
AZ,1962,52.596575
BD,1962,19.180981
BY,1962,21.151730
BE,1962,17.541827
BJ,1962,34.279721
BO,1962,35.577826
BR,1962,12.419667
BG,1962,22.928549
BF,1962,28.203265
KH,1962,66.287249
CM,1962,19.976247
CA,1962,14.393771
TD,1962,38.415516
CL,1962,37.742060
CN,1962,5.974224
CO,1962,18.119695
CD,1962,13.936371
CG,1962,39.958594
CR,1962,50.255299
CI,1962,29.799067
CU,1962,34.228707
CZ,1962,17.322577
DK,1962,37.801956
DO,1962,36.229286
EC,1962,31.044049
EG,1962,35.586346
SV,1962,30.073830
ET,1962,33.763660
FI,1962,25.394293
FR,1962,25.478511
GE,1962,40.355474
DE,1962,6.130484
GH,1962,24.488424
GR,1962,51.045905
GT,1962,37.380868
GN,1962,38.506976
HT,1962,42.417110
HN,1962,28.030064
HK,1962,101.053487
HU,1962,32.185662
IN,1962,3.010995
ID,1962,20.286314
IR,1962,26.428855
IQ,1962,33.659210
IE,1962,51.183475
IL,1962,44.673855
IT,1962,8.423672
JP,1962,41.992077
JO,1962,51.691700
KZ,1962,11.535384
KE,1962,49.184594
KP,1962,14.252437
KR,1962,35.221514
KW,1962,86.758296
KG,1962,32.981679
LA,1962,72.062002
LB,1962,68.179674
LR,1962,44.802248
LY,1962,44.415405
MG,1962,44.474946
MW,1962,6.263956
MY,1962,14.983921
ML,1962,22.867165
MX,1962,27.237090
MN,1962,55.933211
MA,1962,28.304664
MZ,1962,64.696688
MM,1962,37.804386
NP,1962,34.352270
NL,1962,12.898349
NZ,1962,24.586666
NI,1962,29.011523
NE,1962,32.053954
NG,1962,11.056830
NO,1962,30.675090
PK,1962,18.705456
PA,1962,61.439815
PY,1962,57.388871
PE,1962,37.896759
PH,1962,27.964281
PL,1962,7.851361
PT,1962,48.615052
PR,1962,56.082469
RO,1962,15.947345
RU,1962,9.304859
RW,1962,-1.000000
SA,1962,11.189102
SN,1962,50.516423
RS,1962,-1.000000
SL,1962,29.098624
SG,1962,99.595257
SO,1962,19.974241
ZA,1962,13.901608
ES,1962,14.193514
SD,1962,27.248723
SE,1962,15.444347
CH,1962,19.308036
SY,1962,27.836015
TZ,1962,31.801338
TH,1962,39.580658
TG,1962,58.196219
TN,1962,26.706310
TR,1962,16.942312
UG,1962,47.549048
UA,1962,5.893143
AE,1962,53.341588
GB,1962,19.427536
US,1962,11.030984
UY,1962,61.937198
UZ,1962,32.741080
VE,1962,27.918905
VN,1962,27.122622
YE,1962,14.607302
ZM,1962,17.253714
ZW,1962,51.073904
AF,1963,36.252105
DZ,1963,25.040368
AO,1963,43.832977
AR,1963,43.018279
AM,1963,53.897102
AU,1963,25.227753
AT,1963,34.940240
AZ,1963,51.879162
BD,1963,19.973146
BY,1963,21.381890
BE,1963,17.493226
BJ,1963,34.717819
BO,1963,35.621986
