id,Year,cases
AF,1960,2.738107
DZ,1960,8.070706
AO,1960,4.378395
AR,1960,38.067803
AM,1960,28.797266
AU,1960,54.199946
AT,1960,23.080644
AZ,1960,25.813302
BD,1960,1.824323
BY,1960,6.717614
BE,1960,16.281127
BO,1960,15.557344
BR,1960,20.665597
BG,1960,9.000387
BF,1960,1.252490
KH,1960,7.164699
CM,1960,4.217222
CA,1960,30.098935
CL,1960,25.891904
CN,1960,7.703893
CO,1960,19.459106
CD,1960,5.025351
CG,1960,12.225165
CR,1960,17.225154
CI,1960,5.569304
CU,1960,20.101913
CZ,1960,10.475508
DK,1960,28.037699
DO,1960,10.967474
EC,1960,17.469278
EG,1960,18.648682
SV,1960,11.219216
ET,1960,2.302302
FI,1960,10.117199
FR,1960,22.016917
GE,1960,17.256064
DE,1960,8.437162
GH,1960,9.038918
GR,1960,21.780785
GT,1960,11.502352
GN,1960,3.591736
HT,1960,6.396218
HN,1960,6.398435
HK,1960,85.200012
HU,1960,18.140221
IN,1960,6.803401
ID,1960,6.913437
IR,1960,15.206477
IQ,1960,16.320888
IE,1960,23.331076
IL,1960,46.960909
IT,1960,15.850505
JP,1960,31.539990
JO,1960,25.842772
KZ,1960,5.288646
KE,1960,3.610504
KP,1960,5.899742
KR,1960,21.027211
KW,1960,64.284481
LB,1960,29.701480
LR,1960,0.000000
LY,1960,12.915380
MG,1960,4.940353
MY,1960,5.240771
ML,1960,2.569616
MX,1960,22.703890
MA,1960,12.729151
MZ,1960,2.370138
MM,1960,8.742116
NL,1960,15.954958
NZ,1960,18.556669
NI,1960,11.191068
NE,1960,1.775297
NG,1960,4.758908
PK,1960,10.956500
PA,1960,25.110532
PY,1960,20.041037
PE,1960,17.680262
PH,1960,9.254734
PL,1960,3.786005
PT,1960,26.323277
PR,1960,25.287150
RO,1960,5.446395
RU,1960,13.582900
SA,1960,12.560041
SN,1960,11.454462
RS,1960,0.000000
SG,1960,99.270960
SO,1960,3.331852
ZA,1960,24.171695
ES,1960,15.956146
SD,1960,2.966523
SE,1960,10.756615
CH,1960,9.986414
SY,1960,26.355825
TZ,1960,1.609530
TH,1960,7.781085
TG,1960,6.058761
TR,1960,11.041112
UG,1960,2.025621
UA,1960,8.200837
AE,1960,43.220959
GB,1960,31.432074
US,1960,38.694388
UY,1960,50.632613
UZ,1960,11.262488
VE,1960,31.006621
VN,1960,6.759652
YE,1960,1.378779
ZM,1960,2.987325
ZW,1960,6.610295
AF,1961,2.886509
DZ,1961,8.302314
AO,1961,4.563339
AR,1961,38.300990
AM,1961,28.854759
AU,1961,54.615272
AT,1961,22.962523
AZ,1961,25.567219
BD,1961,1.899249
BY,1961,7.022341
BE,1961,16.275944
BO,1961,15.798918
BR,1961,21.146328
BG,1961,9.147136
BF,1961,1.315522
KH,1961,7.043204
CM,1961,4.408333
CA,1961,30.778009
CL,1961,26.098756
CN,1961,8.011223
CO,1961,20.147370
CD,1961,5.309586
CG,1961,12.710207
CR,1961,17.383188
CI,1961,5.825693
CU,1961,20.118905
CZ,1961,10.464479
DK,1961,28.198134
DO,1961,11.300574
EC,1961,17.864441
EG,1961,18.979209
SV,1961,11.408395
ET,1961,2.313408
FI,1961,10.210446
FR,1961,22.216026
GE,1961,17.371198
DE,1961,8.418806
GH,1961,9.185028
GR,1961,22.259002
GT,1961,11.777285
GN,1961,3.988024
HT,1961,6.670562
HN,1961,6.552456
HK,1961,0.000000
HU,1961,18.189969
IN,1961,6.877707
ID,1961,7.115426
IR,1961,15.624802
IQ,1961,17.307040
IE,1961,23.650603
IL,1961,47.569886
IT,1961,16.150532
JP,1961,32.440944
JO,1961,26.726533
KZ,1961,5.252260
KE,1961,3.741435
KP,1961,5.927472
KR,1961,21.672172
KW,1961,66.363314
LB,1961,30.422865
LR,1961,0.000000
LY,1961,13.083687
MG,1961,4.987755
MY,1961,5.222333
ML,1961,2.616640
MX,1961,23.236939
MA,1961,12.969271
MZ,1961,2.494475
MM,1961,8.752556
NL,1961,15.892706
NZ,1961,18.680992
NI,1961,0.000000
NE,1961,1.878796
NG,1961,5.009273
PK,1961,11.183126
PA,1961,25.615310
PY,1961,20.303384
PE,1961,18.062487
PH,1961,9.381532
PL,1961,3.821515
PT,1961,26.735030
PR,1961,25.942009
RO,1961,5.552873
RU,1961,13.689667
SA,1961,12.414798
SN,1961,11.901240
RS,1961,0.000000
SG,1961,99.335958
SO,1961,3.497681
ZA,1961,24.126871
ES,1961,16.365961
SD,1961,3.085713
SE,1961,11.003923
CH,1961,10.056551
SY,1961,26.704885
TZ,1961,1.681029
TH,1961,7.828797
TG,1961,6.642119
TR,1961,11.442504
UG,1961,2.160200
UA,1961,8.333828
AE,1961,41.826526
GB,1961,31.145439
US,1961,38.786763
UY,1961,50.275674
UZ,1961,11.285580
VE,1961,31.550817
VN,1961,6.882617
YE,1961,1.409411
ZM,1961,3.228931
ZW,1961,6.726920
AF,1962,3.042039
DZ,1962,8.502304
AO,1962,4.828804
AR,1962,38.500854
AM,1962,28.932708
AU,1962,54.662232
AT,1962,22.813394
AZ,1962,25.319991
BD,1962,2.032696
BY,1962,7.335420
BE,1962,16.268290
BO,1962,16.046741
BR,1962,21.644231
BG,1962,9.304405
BF,1962,1.381960
KH,1962,6.960161
CM,1962,4.606861
CA,1962,31.309154
CL,1962,26.177893
CN,1962,8.096091
CO,1962,20.863385
CD,1962,5.612734
CG,1962,13.218303
CR,1962,17.539099
CI,1962,6.084969
CU,1962,20.112788
CZ,1962,10.480159
DK,1962,28.359027
DO,1962,11.636847
EC,1962,18.264434
EG,1962,19.351585
SV,1962,11.590454
ET,1962,2.322940
FI,1962,10.264373
FR,1962,22.219790
GE,1962,17.490062
DE,1962,8.362441
GH,1962,9.337077
GR,1962,22.837938
GT,1962,12.059068
GN,1962,4.428302
HT,1962,6.956406
HN,1962,6.699185
HK,1962,0.000000
HU,1962,18.262145
IN,1962,6.954524
ID,1962,7.230651
IR,1962,16.050087
IQ,1962,18.341928
IE,1962,24.035760
IL,1962,46.665111
IT,1962,16.407268
JP,1962,33.359297
JO,1962,27.014082
KZ,1962,5.227836
KE,1962,3.875746
KP,1962,6.008828
KR,1962,22.351769
KW,1962,66.508910
LB,1962,31.185383
LR,1962,0.000000
LY,1962,13.262440
MG,1962,5.034564
MY,1962,5.203188
ML,1962,2.675458
MX,1962,23.789922
MA,1962,13.220913
MZ,1962,2.626685
MM,1962,8.763716
NL,1962,15.814086
NZ,1962,18.971072
NI,1962,0.000000
NE,1962,1.987345
NG,1962,5.276880
PK,1962,11.391623
PA,1962,26.099634
PY,1962,20.568171
PE,1962,18.508777
PH,1962,9.510055
PL,1962,3.829894
PT,1962,26.896428
PR,1962,26.527008
RO,1962,5.677255
RU,1962,13.798071
SA,1962,12.249797
SN,1962,12.305801
RS,1962,0.000000
SG,1962,99.595257
SO,1962,3.671266
ZA,1962,24.164626
ES,1962,16.801465
SD,1962,3.209900
SE,1962,11.481328
CH,1962,10.094241
SY,1962,27.054651
TZ,1962,1.755434
TH,1962,7.876551
TG,1962,7.018464
TR,1962,11.964499
UG,1962,2.301374
UA,1962,8.471161
AE,1962,39.675473
GB,1962,30.707945
US,1962,38.931585
UY,1962,49.946157
UZ,1962,11.302221
VE,1962,31.819230
VN,1962,7.009987
YE,1962,1.440280
ZM,1962,3.488701
ZW,1962,6.843903
AF,1963,3.204686
DZ,1963,8.704032
AO,1963,5.110925
AR,1963,38.714117
AM,1963,29.039759
AU,1963,54.998931
AT,1963,22.669228
AZ,1963,25.088763
BD,1963,2.175250
BY,1963,7.658993
BE,1963,16.244210
BO,1963,16.299552
BR,1963,22.161674
BG,1963,9.470971
BF,1963,1.451580
KH,1963,7.013113
CM,1963,4.766996
CA,1963,31.853791
CL,1963,26.266254
CN,1963,8.045342
CO,1963,21.608037
CD,1963,5.933269
CG,1963,13.749636
CR,1963,17.704628
CI,1963,6.349081
CU,1963,20.096524
CZ,1963,10.514569
DK,1963,28.522630
DO,1963,11.986721
EC,1963,18.578365
EG,1963,19.738055
SV,1963,11.769980
ET,1963,2.331161
FI,1963,10.314481
FR,1963,22.172386
GE,1963,17.618261
DE,1963,8.311423
GH,1963,9.501964
GR,1963,23.482500
GT,1963,12.347260
GN,1963,4.914999
HT,1963,7.253985
HN,1963,6.850881
HK,1963,0.000000
HU,1963,18.342087
IN,1963,7.030023
ID,1963,7.300060
IR,1963,16.482467
IQ,1963,19.421193
IE,1963,24.359053
IL,1963,46.304077
IT,1963,16.640153
JP,1963,34.276308
JO,1963,26.897854
KZ,1963,5.218411
KE,1963,4.032764
KP,1963,6.095167
KR,1963,23.085695
KW,1963,65.733389
LB,1963,32.002654
LR,1963,0.000000
LY,1963,13.443017
MG,1963,5.080577
MY,1963,5.185533
ML,1963,2.736001
MX,1963,24.355665
MA,1963,13.480717
MZ,1963,2.764931
MM,1963,8.774441
NL,1963,15.748320
NZ,1963,19.369036
NI,1963,0.000000
NE,1963,2.075998
NG,1963,5.562835
PK,1963,11.615964
PA,1963,26.591678
PY,1963,20.783833
PE,1963,18.963123
PH,1963,9.641086
PL,1963,3.837829
PT,1963,27.122335
PR,1963,27.097663
RO,1963,5.799080
RU,1963,13.907767
SA,1963,12.580342
SN,1963,12.719740
RS,1963,0.000000
SG,1963,99.790752
SO,1963,3.852293
ZA,1963,24.264563
ES,1963,17.248858
SD,1963,3.338968
SE,1963,11.979826
CH,1963,10.174060
SY,1963,27.400528
TZ,1963,1.832765
TH,1963,7.924892
TG,1963,7.400625
TR,1963,12.517911
UG,1963,2.449876
UA,1963,8.614181
AE,1963,37.488740
GB,1963,30.365565
US,1963,39.120318
UY,1963,49.644318
UZ,1963,11.319603
VE,1963,32.117371
VN,1963,7.140150
YE,1963,1.471737
ZM,1963,3.775932
ZW,1963,6.961915
AF,1964,3.370549
DZ,1964,8.896478
AO,1964,5.409841
AR,1964,38.944732
AM,1964,29.187894
AU,1964,55.317928
AT,1964,22.523590
AZ,1964,24.894420
BD,1964,2.327707
BY,1964,7.996658
BE,1964,16.188182
BO,1964,16.557684
BR,1964,22.712759
BG,1964,9.640300
BF,1964,1.524209
KH,1964,7.060244
CM,1964,4.930754
CA,1964,32.407638
CL,1964,26.376090
CN,1964,8.023324
CO,1964,22.386330
CD,1964,6.269831
CG,1964,14.296664
CR,1964,17.898078
CI,1964,6.826184
CU,1964,20.088474
CZ,1964,10.561267
DK,1964,28.695614
