AD,58.5,60.88,63.26,65.64,68.02,70.4,72.36,74.32,76.28,78.24,80.2,81.62,83.04,84.46,85.88,87.3,88.26,89.22,90.18,91.14,92.1,92.72,93.34,93.96,94.58,95.2,95.1,95,94.9,94.8,94.7,94.5,94.3,94.1,93.9,93.7,93.44,93.18,92.92,92.66,92.4,91.98,91.56,91.14,90.72,90.3,89.84,89.38,88.92,88.46
AE,73.5,73.94,74.38,74.82,75.26,75.7,76.1,76.5,76.9,77.3,77.7,78.08,78.46,78.84,79.22,79.6,79.82,80.04,80.26,80.48,80.7,80.52,80.34,80.16,79.98,79.8,79.66,79.52,79.38,79.24,79.1,78.96,78.82,78.68,78.54,78.4,78.28,78.16,78.04,77.92,77.8,77.78,77.76,77.74,77.72,77.7,77.76,77.82,77.88,77.94
AF,8,8.28,8.56,8.84,9.12,9.4,9.72,10.04,10.36,10.68,11,11.46,11.92,12.38,12.84,13.3,13.78,14.26,14.74,15.22,15.7,15.96,16.22,16.48,16.74,17,17.26,17.52,17.78,18.04,18.3,18.6,18.9,19.2,19.5,19.8,20.1,20.4,20.7,21,21.3,21.62,21.94,22.26,22.58,22.9,23.28,23.66,24.04,24.42
AG,39.7,39.08,38.46,37.84,37.22,36.6,36.04,35.48,34.92,34.36,33.8,33.88,33.96,34.04,34.12,34.2,34.28,34.36,34.44,34.52,34.6,34.68,34.76,34.84,34.92,35,35.08,35.16,35.24,35.32,35.4,35.12,34.84,34.56,34.28,34,33.62,33.24,32.86,32.48,32.1,31.82,31.54,31.26,30.98,30.7,30.62,30.54,30.46,30.38
AL,30.7,30.8,30.9,31,31.1,31.2,31.3,31.4,31.5,31.6,31.7,31.9,32.1,32.3,32.5,32.7,32.92,33.14,33.36,33.58,33.8,34.06,34.32,34.58,34.84,35.1,35.36,35.62,35.88,36.14,36.4,36.9,37.4,37.9,38.4,38.9,39.46,40.02,40.58,41.14,41.7,42.32,42.94,43.56,44.18,44.8,45.44,46.08,46.72,47.36
AM,51.3,52.16,53.02,53.88,54.74,55.6,56.46,57.32,58.18,59.04,59.9,60.64,61.38,62.12,62.86,63.6,64.08,64.56,65.04,65.52,66,66.22,66.44,66.66,66.88,67.1,67.18,67.26,67.34,67.42,67.5,67.26,67.02,66.78,66.54,66.3,66.06,65.82,65.58,65.34,65.1,64.9,64.7,64.5,64.3,64.1,64.02,63.94,63.86,63.78
AN,69.7,70.34,70.98,71.62,72.26,72.9,73.5,74.1,74.7,75.3,75.9,76.46,77.02,77.58,78.14,78.7,79.2,79.7,80.2,80.7,81.2,81.66,82.12,82.58,83.04,83.5,83.92,84.34,84.76,85.18,85.6,86.08,86.56,87.04,87.52,88,88.44,88.88,89.32,89.76,90.2,90.54,90.88,91.22,91.56,91.9,92.16,92.42,92.68,92.94
AO,10.4,10.82,11.24,11.66,12.08,12.5,13,13.5,14,14.5,15,15.82,16.64,17.46,18.28,19.1,20.14,21.18,22.22,23.26,24.3,25.5,26.7,27.9,29.1,30.3,31.66,33.02,34.38,35.74,37.1,38.48,39.86,41.24,42.62,44,45,46,47,48,49,50,51,52,53,54,54.9,55.8,56.7,57.6
AR,73.6,74.16,74.72,75.28,75.84,76.4,76.9,77.4,77.9,78.4,78.9,79.32,79.74,80.16,80.58,81,81.38,81.76,82.14,82.52,82.9,83.32,83.74,84.16,84.58,85,85.4,85.8,86.2,86.6,87,87.34,87.68,88.02,88.36,88.7,88.98,89.26,89.54,89.82,90.1,90.36,90.62,90.88,91.14,91.4,91.6,91.8,92,92.2
AS,66.2,66.62,67.04,67.46,67.88,68.3,68.72,69.14,69.56,69.98,70.4,70.8,71.2,71.6,72,72.4,72.78,73.16,73.54,73.92,74.3,75,75.7,76.4,77.1,77.8,78.42,79.04,79.66,80.28,80.9,81.78,82.66,83.54,84.42,85.3,86,86.7,87.4,88.1,88.8,89.3,89.8,90.3,90.8,91.3,91.64,91.98,92.32,92.66
