Country,Production (Ton),Year,Rank
Bangladesh,14426200,1961,4
Brazil,5392480,1961,9
Cambodia,2383000,1961,13
China,56217601,1961,1
Democratic People's Republic of Korea,1809000,1961,15
Egypt,1142000,1961,18
India,53494500,1961,2
Indonesia,12084000,1961,5
Japan,16160400,1961,3
Madagascar,1465000,1961,17
Malaysia,1089080,1961,19
Myanmar,6834100,1961,8
Nepal,2108000,1961,14
Pakistan,1690000,1961,16
Philippines,3910100,1961,11
Republic of Korea,4679000,1961,10
Sri Lanka,923024,1961,20
Thailand,10150000,1961,6
United States of America,2458000,1961,12
Viet Nam,8997400,1961,7
Bangladesh,13304500,1962,4
Brazil,5556830,1962,9
Cambodia,2039000,1962,14
China,65675288,1962,1
Democratic People's Republic of Korea,1897100,1962,16
Egypt,2038000,1962,15
India,49825600,1962,2
Indonesia,13004000,1962,5
Japan,16927100,1962,3
Madagascar,1552000,1962,18
Malaysia,1125340,1962,19
Myanmar,7664700,1962,8
Nepal,2108320,1962,13
Pakistan,1643000,1962,17
Philippines,3966980,1962,11
Republic of Korea,4074000,1962,10
Sri Lanka,1029190,1962,20
Thailand,11250000,1962,6
United States of America,2996000,1962,12
Viet Nam,9747040,1962,7
Bangladesh,15934900,1963,4
Brazil,5740070,1963,9
Cambodia,2622000,1963,13
China,76439280,1963,1
Democratic People's Republic of Korea,2072500,1963,16
Egypt,2219000,1963,14
India,55497000,1963,2
Indonesia,11595000,1963,6
Japan,16648800,1963,3
Madagascar,1559000,1963,18
Malaysia,1190210,1963,19
Myanmar,7782900,1963,8
Nepal,2109000,1963,15
Pakistan,1788000,1963,17
Philippines,3842860,1963,11
Republic of Korea,5079000,1963,10
Sri Lanka,1045910,1963,20
Thailand,12171000,1963,5
United States of America,3187000,1963,12
Viet Nam,9622670,1963,7
Bangladesh,15753600,1964,4
Brazil,6344930,1964,9
Cambodia,2760000,1964,13
China,85853780,1964,1
Democratic People's Republic of Korea,2176100,1964,15
Egypt,2036000,1964,16
India,58962000,1964,2
Indonesia,12306000,1964,5
Japan,16356100,1964,3
Madagascar,1648080,1964,18
Malaysia,1109780,1964,19
Myanmar,8507700,1964,8
Nepal,2201000,1964,14
Pakistan,2025000,1964,17
Philippines,3992400,1964,11
Republic of Korea,5344000,1964,10
Sri Lanka,1074050,1964,20
Thailand,11600000,1964,6
United States of America,3319000,1964,12
Viet Nam,9697030,1964,7
Bangladesh,15750500,1965,4
Brazil,7579650,1965,9
Cambodia,2500000,1965,13
China,90705630,1965,1
Democratic People's Republic of Korea,1905000,1965,16
Egypt,1789000,1965,17
India,45883500,1965,2
Indonesia,12975000,1965,5
Japan,16126100,1965,3
Madagascar,1589350,1965,18
Malaysia,1255610,1965,19
Myanmar,8055100,1965,8
Nepal,2207000,1965,14
Pakistan,1975000,1965,15
Philippines,4072640,1965,11
Republic of Korea,4867000,1965,10
Sri Lanka,764158,1965,20
Thailand,11164000,1965,6
United States of America,3460000,1965,12
Viet Nam,9369700,1965,7
Bangladesh,14363000,1966,4
Brazil,5801810,1966,9
Cambodia,2376000,1966,13
China,98403990,1966,1
Democratic People's Republic of Korea,2128300,1966,14
Egypt,1678000,1966,17
India,45657000,1966,2
Indonesia,13650000,1966,5
Japan,16564000,1966,3
Madagascar,1602800,1966,18
Malaysia,1226680,1966,19
Myanmar,6636400,1966,8
Nepal,2007300,1966,16
Pakistan,2047000,1966,15
Philippines,4094020,1966,11
Republic of Korea,5448000,1966,10
Sri Lanka,980746,1966,20
Thailand,13500000,1966,6
United States of America,3856420,1966,12
Viet Nam,8463500,1966,7
Bangladesh,16757000,1967,4
Brazil,6791990,1967,9
Cambodia,2457000,1967,13
China,96734816,1967,1
Democratic People's Republic of Korea,1976800,1967,17
Egypt,2278000,1967,14
India,56418300,1967,2
Indonesia,13222000,1967,5
Japan,18782000,1967,3
Madagascar,1706400,1967,18
Malaysia,1205070,1967,19
Myanmar,7769400,1967,8
Nepal,2119430,1967,16
Pakistan,2248000,1967,15
Philippines,4560700,1967,11
Republic of Korea,5008000,1967,10
Sri Lanka,1158150,1967,20
Thailand,11198000,1967,6
United States of America,4054140,1967,12
Viet Nam,9188400,1967,7
Bangladesh,17015500,1968,5
Brazil,6652390,1968,9
Cambodia,3251000,1968,13
China,97716767,1968,1
Democratic People's Republic of Korea,1913000,1968,17
Egypt,2591000,1968,15
India,59641800,1968,2
Indonesia,17162800,1968,4
Japan,18779000,1968,3
Madagascar,1796500,1968,18
Malaysia,1433950,1968,19
Myanmar,8022900,1968,8
Nepal,2178260,1968,16
Pakistan,3048000,1968,14
Philippines,4444660,1968,11
Republic of Korea,4442000,1968,12
Sri Lanka,1359540,1968,20
Thailand,12410000,1968,6
United States of America,4723780,1968,10
Viet Nam,8366150,1968,7
Bangladesh,18007300,1969,5
Brazil,6394290,1969,9
Cambodia,2503000,1969,15
China,97998492,1969,1
Democratic People's Republic of Korea,2343400,1969,16
Egypt,2561000,1969,14
India,60644500,1969,2
Indonesia,18020200,1969,4
