Country,Production,Year,Rank
China,56217601,1961,1
India,53494500,1961,2
Indonesia,12084000,1961,4
Japan,16160400,1961,3
Korea,4679000,1961,8
Malaysia,1089080,1961,10
Myanmar,6834100,1961,7
Philippines,3910100,1961,9
SriLanka,923024,1961,11
Thailand,10150000,1961,5
VietNam,8997400,1961,6
China,65675288,1962,1
India,49825600,1962,2
Indonesia,13004000,1962,4
Japan,16927100,1962,3
Korea,4074000,1962,8
Malaysia,1125340,1962,10
Myanmar,7664700,1962,7
Philippines,3966980,1962,9
SriLanka,1029190,1962,11
Thailand,11250000,1962,5
VietNam,9747040,1962,6
China,76439280,1963,1
India,55497000,1963,2
Indonesia,11595000,1963,5
Japan,16648800,1963,3
Korea,5079000,1963,8
Malaysia,1190210,1963,10
Myanmar,7782900,1963,7
Philippines,3842860,1963,9
SriLanka,1045910,1963,11
Thailand,12171000,1963,4
VietNam,9622670,1963,6
China,85853780,1964,1
India,58962000,1964,2
Indonesia,12306000,1964,4
Japan,16356100,1964,3
Korea,5344000,1964,8
Malaysia,1109780,1964,10
Myanmar,8507700,1964,7
Philippines,3992400,1964,9
SriLanka,1074050,1964,11
Thailand,11600000,1964,5
VietNam,9697030,1964,6
China,90705630,1965,1
India,45883500,1965,2
Indonesia,12975000,1965,4
Japan,16126100,1965,3
Korea,4867000,1965,8
Malaysia,1255610,1965,10
Myanmar,8055100,1965,7
Philippines,4072640,1965,9
SriLanka,764158,1965,11
Thailand,11164000,1965,5
VietNam,9369700,1965,6
China,98403990,1966,1
India,45657000,1966,2
Indonesia,13650000,1966,4
Japan,16564000,1966,3
Korea,5448000,1966,8
Malaysia,1226680,1966,10
Myanmar,6636400,1966,7
Philippines,4094020,1966,9
SriLanka,980746,1966,11
Thailand,13500000,1966,5
VietNam,8463500,1966,6
China,96734816,1967,1
India,56418300,1967,2
Indonesia,13222000,1967,4
Japan,18782000,1967,3
Korea,5008000,1967,8
Malaysia,1205070,1967,10
Myanmar,7769400,1967,7
Philippines,4560700,1967,9
SriLanka,1158150,1967,11
Thailand,11198000,1967,5
VietNam,9188400,1967,6
China,97716767,1968,1
India,59641800,1968,2
Indonesia,17162800,1968,4
Japan,18779000,1968,3
Korea,4442000,1968,9
Malaysia,1433950,1968,10
Myanmar,8022900,1968,7
Philippines,4444660,1968,8
SriLanka,1359540,1968,11
Thailand,12410000,1968,5
VietNam,8366150,1968,6
China,97998492,1969,1
India,60644500,1969,2
Indonesia,18020200,1969,4
Japan,18200000,1969,3
Korea,5688000,1969,8
Malaysia,1590600,1969,10
Myanmar,7984700,1969,7
Philippines,5464080,1969,9
SriLanka,1375960,1969,11
