Country,Year,Rice
China,1961,20787
India,1961,15419
Indonesia,1961,17623
Japan,1961,48793
Korea,1961,41481
Lao,1961,8710
Malaysia,1961,21086
Myanmar,1961,16066
Philippines,1961,12299
SriLanka,1961,18626
Thailand,1961,16585
VietNam,1961,18966
China,1962,23700
India,1962,13959
Indonesia,1962,17855
Japan,1962,51372
Korea,1962,35768
Lao,1962,8644
Malaysia,1962,20678
Myanmar,1962,16469
Philippines,1962,12548
SriLanka,1962,19539
Thailand,1962,17202
VietNam,1962,19937
China,1963,26833
India,1963,15498
Indonesia,1963,17226
Japan,1963,50821
Korea,1963,43974
Lao,1963,8667
Malaysia,1963,21525
Myanmar,1963,15957
Philippines,1963,12447
SriLanka,1963,19547
Thailand,1963,18725
VietNam,1963,21400
China,1964,28289
India,1964,16171
Indonesia,1964,17630
Japan,1964,50111
Korea,1964,44720
Lao,1964,8024
Malaysia,1964,19968
Myanmar,1964,17097
Philippines,1964,12478
SriLanka,1964,19962
Thailand,1964,18384
VietNam,1964,19442
China,1965,29667
India,1965,12936
Indonesia,1965,17708
Japan,1965,49489
Korea,1965,39634
Lao,1965,8079
Malaysia,1965,21578
Myanmar,1965,16614
Philippines,1965,13099
SriLanka,1965,17696
Thailand,1965,17805
VietNam,1965,19414
China,1966,31445
India,1966,12952
Indonesia,1966,17748
Japan,1966,50841
Korea,1966,44257
Lao,1966,8108
Malaysia,1966,21408
Myanmar,1966,14694
Philippines,1966,13223
SriLanka,1966,18365
Thailand,1966,18360
VietNam,1966,18079
China,1967,31006
India,1967,15484
Indonesia,1967,17592
Japan,1967,57490
Korea,1967,40551
Lao,1967,8448
Malaysia,1967,20165
Myanmar,1967,16510
Philippines,1967,13804
SriLanka,1967,21259
Thailand,1967,17497
VietNam,1967,19159
China,1968,31868
India,1968,16134
Indonesia,1968,21398
Japan,1968,57183
Korea,1968,38593
Lao,1968,11753
Malaysia,1968,21714
Myanmar,1968,16843
Philippines,1968,13339
SriLanka,1968,23968
Thailand,1968,17882
VietNam,1968,17095
China,1969,31415
India,1969,16094
Indonesia,1969,22487
Japan,1969,55505
Korea,1969,46623
Lao,1969,13471
Malaysia,1969,23246
Myanmar,1969,17092
Philippines,1969,17098
SriLanka,1969,25654
Thailand,1969,18474
VietNam,1969,17880
China,1970,34162
India,1970,16849
Indonesia,1970,23763
Japan,1970,56348
Korea,1970,45520
Lao,1970,13589
Malaysia,1970,23858
Myanmar,1970,16973
Philippines,1970,17460
SriLanka,1970,22485
Thailand,1970,20207
VietNam,1970,21534
China,1971,33145
India,1971,17110
Indonesia,1971,24254
Japan,1971,52439
Korea,1971,46697
Lao,1971,12204
Malaysia,1971,24736
Myanmar,1971,17161
Philippines,1971,15980
SriLanka,1971,20119
Thailand,1971,19369
VietNam,1971,22265
China,1972,32475
India,1972,16046
Indonesia,1972,24556
Japan,1972,58458
Korea,1972,46146
Lao,1972,12287
Malaysia,1972,23980
Myanmar,1972,16247
Philippines,1972,14431
SriLanka,1972,20540
Thailand,1972,18308
VietNam,1972,21935
China,1973,34818
India,1973,17259
Indonesia,1973,25572
Japan,1973,60175
Korea,1973,49504
Lao,1973,13290
Malaysia,1973,26342
Myanmar,1973,17629
Philippines,1973,14624
SriLanka,1973,19539
Thailand,1973,19242
VietNam,1973,22117
China,1974,35033
India,1974,15744
Indonesia,1974,26412
Japan,1974,58605
Korea,1974,51257
Lao,1974,13190
Malaysia,1974,28311
Myanmar,1974,17574
Philippines,1974,15458
SriLanka,1974,20104
Thailand,1974,18254
VietNam,1974,21564
China,1975,35283
India,1975,18582
Indonesia,1975,26297
Japan,1975,61856
Korea,1975,53243
Lao,1975,13382
Malaysia,1975,26615
Myanmar,1975,18307
Philippines,1975,16636
SriLanka,1975,19325
Thailand,1975,18308
VietNam,1975,21198
China,1976,34957
India,1976,16372
Indonesia,1976,27843
Japan,1976,55013
Korea,1976,59667
Lao,1976,12600
Malaysia,1976,27217
Myanmar,1976,18974
Philippines,1976,17967
SriLanka,1976,19712
Thailand,1976,18450
VietNam,1976,22327
China,1977,36373
India,1977,19613
Indonesia,1977,27929
Japan,1977,61683
Korea,1977,67868
Lao,1977,12345
Malaysia,1977,26252
Myanmar,1977,19453
Philippines,1977,20142
SriLanka,1977,21441
Thailand,1977,15910
VietNam,1977,19378
China,1978,39809
India,1978,19912
Indonesia,1978,28862
Japan,1978,61758
Korea,1978,69380
Lao,1978,12512
Malaysia,1978,25695
Myanmar,1978,21012
Philippines,1978,20253
SriLanka,1978,22521
Thailand,1978,19552
VietNam,1978,17922
China,1979,42491
India,1979,16105
Indonesia,1979,29855
Japan,1979,59864
Korea,1979,63905
Lao,1979,12577
Malaysia,1979,28388
Myanmar,1979,23521
Philippines,1979,21131
SriLanka,1979,24282
Thailand,1979,18209
VietNam,1979,20716
China,1980,41435
India,1980,20002
Indonesia,1980,32928
Japan,1980,51279
Korea,1980,43076
Lao,1980,14386
Malaysia,1980,28524
Myanmar,1980,27739
Philippines,1980,22105
SriLanka,1980,25897
Thailand,1980,18878
VietNam,1980,20798
China,1981,43315
India,1981,19623
Indonesia,1981,34934
Japan,1981,56295
Korea,1981,58410
Lao,1981,15498
Malaysia,1981,28409
Myanmar,1981,29419
Philippines,1981,22977
SriLanka,1981,26462
Thailand,1981,19521
VietNam,1981,21966
China,1982,48888
India,1982,18497
Indonesia,1982,37363
Japan,1982,56881
Korea,1982,61510
Lao,1982,14825
Malaysia,1982,27619
Myanmar,1982,31505
Philippines,1982,26342
SriLanka,1982,28896
Thailand,1982,18880
VietNam,1982,25194
China,1983,50918
India,1983,21833
Indonesia,1983,38530
Japan,1983,57008
Korea,1983,61926
Lao,1983,15851
Malaysia,1983,26041
Myanmar,1983,30666
Philippines,1983,23227
SriLanka,1983,31977
Thailand,1983,20351
VietNam,1983,26272
China,1984,53634
India,1984,21272
Indonesia,1984,39060
Japan,1984,64138
Korea,1984,64754
Lao,1984,20167
Malaysia,1984,25187
Myanmar,1984,30981
Philippines,1984,24300
SriLanka,1984,27316
Thailand,1984,20670
VietNam,1984,27323
China,1985,52498
India,1985,23292
Indonesia,1985,39418
Japan,1985,62246
Korea,1985,63514
Lao,1985,21028
Malaysia,1985,26648
Myanmar,1985,30718
Philippines,1985,25879
SriLanka,1985,30777
Thailand,1985,20608
VietNam,1985,27761
China,1986,53272
India,1986,22052
Indonesia,1986,39773
Japan,1986,63218
Korea,1986,63688
Lao,1986,22588
Malaysia,1986,26399
Myanmar,1986,30279
Philippines,1986,27173
SriLanka,1986,30944
Thailand,1986,20522
VietNam,1986,28060
China,1987,54035
India,1987,21991
Indonesia,1987,40391
Japan,1987,61901
Korea,1987,60173
Lao,1987,22272
Malaysia,1987,24686
Myanmar,1987,30424
Philippines,1987,26229
SriLanka,1987,31318
Thailand,1987,20147
VietNam,1987,26954
China,1988,52819
India,1988,25486
Indonesia,1988,41108
Japan,1988,58858
Korea,1988,65550
Lao,1988,19118
Malaysia,1988,25251
Myanmar,1988,29084
Philippines,1988,26442
SriLanka,1988,30367
Thailand,1988,21465
VietNam,1988,29613
China,1989,55005
India,1989,26161
Indonesia,1989,42470
Japan,1989,61679
Korea,1989,64456
Lao,1989,23552
Malaysia,1989,26251
Myanmar,1989,29174
Philippines,1989,27046
SriLanka,1989,29916
Thailand,1989,20853
VietNam,1989,32136
China,1990,57166
India,1990,26125
Indonesia,1990,43018
Japan,1990,63279
Korea,1990,62057
Lao,1990,22936
Malaysia,1990,27694
Myanmar,1990,29353
Philippines,1990,29786
SriLanka,1990,30643
Thailand,1990,19556
VietNam,1990,31815
China,1991,56238
India,1991,26271
Indonesia,1991,43465
Japan,1991,58590
Korea,1991,60346
Lao,1991,21977
Malaysia,1991,28178
Myanmar,1991,28862
Philippines,1991,28243
SriLanka,1991,30215
Thailand,1991,22534
VietNam,1991,31133
China,1992,57959
India,1992,26092
Indonesia,1992,43447
Japan,1992,62754
Korea,1992,63120
Lao,1992,26555
Malaysia,1992,29918
Myanmar,1992,29351
Philippines,1992,29388
SriLanka,1992,30544
Thailand,1992,21744
VietNam,1992,33342
China,1993,58462
India,1993,28303
Indonesia,1993,43750
Japan,1993,45783
Korea,1993,57330
Lao,1993,22668
Malaysia,1993,30348
Myanmar,1993,30552
Philippines,1993,28742
SriLanka,1993,31350
Thailand,1993,21700
VietNam,1993,34815
China,1994,58288
India,1994,28645
