0,Airport,7
1,Bus Station,7
2,Seafood Restaurant,2
3,Mall,6
4,Airport Gate,7
5,Japanese Restaurant,2
6,Hong Kong Restaurant,2
7,Coffee Shop,2
8,Mall,6
9,Mall,6
10,School,3
11,Seafood Restaurant,2
12,Ramen / Noodle House,2
13,Sushi Restaurant,2
14,Home (private),8
15,Food,2
16,Bus Station,7
17,Ice Cream Shop,2
18,Chinese Restaurant,2
19,Ramen / Noodle House,2
20,Mall,6
21,Mall,6
22,Chinese Restaurant,2
23,Neighborhood,5
24,Clothing Store,6
25,Residential Building (Apartment / Condo),8
26,Mall,6
27,Food Court,6
28,Seafood Restaurant,2
29,Train Station,7
30,Chinese Restaurant,2
31,Food Court,6
32,Market,6
33,Jazz Club,0
34,Multiplex,0
35,Mall,6
36,Food Court,6
37,Subway,7
38,Mall,6
39,Pizza Place,2
40,Neighborhood,5
41,Fast Food Restaurant,2
42,Hotel,7
43,Train Station,7
44,Salon / Barbershop,6
45,Ice Cream Shop,2
46,Japanese Restaurant,2
47,Mall,6
48,Bar,4
49,Home (private),8
50,Mall,6
51,Plaza,5
52,Coworking Space,3
53,Sushi Restaurant,2
54,Home (private),8
55,Food Court,6
56,Multiplex,0
57,Coffee Shop,2
58,Home (private),8
59,Home (private),8
60,Italian Restaurant,2
61,Mall,6
62,Building,8
63,Subway,7
64,Bar,4
65,Grocery Store,6
66,American Restaurant,2
67,Resort,7
68,Mall,6
69,Mall,6
70,Airport Terminal,7
71,French Restaurant,2
72,Residential Building (Apartment / Condo),8
73,Korean Restaurant,2
74,Neighborhood,5
75,Boutique,6
76,Bus Station,7
77,Military Base,3
78,Food Court,6
79,Hong Kong Restaurant,2
80,Mall,6
81,Mall,6
82,Mall,6
83,American Restaurant,2
84,Chinese Restaurant,2
85,Asian Restaurant,2
86,Residential Building (Apartment / Condo),8
87,American Restaurant,2
88,Thai Restaurant,2
89,Women's Store,6
90,College Gym,1
91,Fried Chicken Joint,2
92,Multiplex,0
93,Japanese Restaurant,2
94,Mall,6
95,Ramen / Noodle House,2
96,Mall,6
97,Gym,6
98,Government Building,3
99,Pub,4
100,Grocery Store,6
101,Mall,6
102,Residential Building (Apartment / Condo),8
103,Chinese Restaurant,2
104,Furniture / Home Store,6
105,Bus Station,7
106,Fast Food Restaurant,2
107,Mall,6
108,African Restaurant,2
109,Lounge,4
110,Subway,7
111,Pool,5
112,Residential Building (Apartment / Condo),8
113,Housing Development,8
114,Bus Line,7
115,Coffee Shop,2
116,Home (private),8
117,Train Station,7
118,Mall,6
119,Food Court,6
120,-1,-1
121,Pool Hall,0
122,Mall,6
123,Japanese Restaurant,2
124,Japanese Restaurant,2
125,Subway,7
126,Boutique,6
127,Pizza Place,2
128,Coffee Shop,2
129,Japanese Restaurant,2
130,Chinese Restaurant,2
131,Chinese Restaurant,2
132,Cocktail Bar,4
133,Trade School,1
134,Karaoke Bar,4
135,Mall,6
136,Multiplex,0
137,Home (private),8
138,Pub,4
139,Grocery Store,6
140,Other Great Outdoors,5
141,Convenience Store,6
142,Mall,6
143,Hotel,7
144,Flea Market,6
145,Flea Market,6
146,Fast Food Restaurant,2
147,Asian Restaurant,2
148,Bus Station,7
149,Grocery Store,6
150,Food Court,6
151,Mall,6
152,Housing Development,8
153,Juice Bar,2
154,Japanese Restaurant,2
155,Chinese Restaurant,2
156,Food Court,6
157,General Entertainment,0
158,Home (private),8
159,Mall,6
160,Wings Joint,2
161,Chinese Restaurant,2
162,Japanese Restaurant,2
163,Mall,6
164,Ice Cream Shop,2
165,Home (private),8
166,Home (private),8
167,Coffee Shop,2
168,Soccer Field,5
169,Parking,3
170,Residential Building (Apartment / Condo),8
171,Mall,6
172,Home (private),8
173,Train Station,7
174,Burger Joint,2
175,Dance Studio,0
176,Hospital,3
177,Home (private),8
178,Steakhouse,2
179,Chinese Restaurant,2
180,cafe,2
181,Residential Building (Apartment / Condo),8
182,Food Court,6
183,Housing Development,8
184,Chinese Restaurant,2
185,Coffee Shop,2
